ts,order_ref,side,price,qty,aggressive,queue_ahead_at_join
1782912955199796171,15,1,189680000000,100,False,300
1782912955219983193,16,0,189680000000,100,True,0
1782913007889783761,20,1,189890000000,100,False,500
1782913007920721753,21,0,189900000000,100,True,0
1782913245544792959,32,0,189900000000,87,False,300
1782913245620101044,33,1,189900000000,87,True,0
1782913354021416719,40,1,189860000000,66,False,500
1782913354120835687,41,0,189860000000,66,True,0
1782913371014926419,43,1,189770000000,11,False,700
1782913371020057928,44,0,189770000000,11,True,0
1782913451439191090,49,1,189880000000,100,False,100
1782913451520206694,50,0,189880000000,100,True,0
1782913512202153578,53,0,189950000000,72,False,500
1782913512720445436,55,1,189940000000,72,True,0
1782913569971168972,58,0,190100000000,100,False,100
1782913570020820752,59,1,190140000000,100,True,0
1782913603186904526,64,1,190200000000,100,False,500
1782913603219867991,65,0,190200000000,100,True,0
1782913623492658061,68,0,190210000000,88,False,500
1782913623520156847,69,1,190200000000,88,True,0
1782913640673572031,71,0,190130000000,100,False,200
1782913640720001110,72,1,190140000000,100,True,0
1782913671324324409,75,0,190110000000,100,False,500
1782913671620055635,76,1,190110000000,100,True,0
1782913692193029979,79,0,190020000000,100,False,500
1782913692220070567,80,1,189990000000,100,True,0
1782913698279340514,81,1,190030000000,100,False,700
1782913698319886493,82,0,190040000000,100,True,0
1782913928441075207,100,0,190030000000,100,False,200
1782913928819943240,101,1,190020000000,100,True,0
1782914021660449846,108,0,190050000000,100,False,0
1782914021720044899,109,1,190050000000,100,True,0
1782914075424471507,112,1,190140000000,100,False,200
1782914075519873571,113,0,190140000000,100,True,0
1782914209764356567,122,0,190410000000,100,False,500
1782914209819875475,123,1,190420000000,100,True,0
1782914229249187266,124,1,190420000000,100,False,100
1782914229319861252,125,0,190420000000,100,True,0
1782914274486538019,128,1,190270000000,100,False,200
1782914275220498358,129,0,190270000000,100,True,0
1782914306159733167,132,0,190480000000,100,False,400
1782914306220776653,133,1,190480000000,100,True,0
1782914391334906344,138,0,190330000000,12,False,500
1782914391420593392,139,1,190340000000,12,True,0
1782914391900362829,138,0,190330000000,88,False,500
1782914391919880362,140,1,190340000000,88,True,0
1782914548457754815,146,0,189860000000,100,False,200
1782914548520550734,147,1,189870000000,100,True,0
1782914765828798104,159,1,190160000000,41,False,800
1782914765895126937,159,1,190160000000,59,False,800
1782914766420330457,161,0,190130000000,100,True,0
1782914784555483048,162,0,190080000000,100,False,500
1782914785120831721,164,1,190070000000,100,True,0
1782914849994903582,169,0,189850000000,100,False,800
1782914850020289420,170,1,189850000000,100,True,0
1782914863730836958,172,1,189910000000,100,False,0
1782914864320852527,173,0,189910000000,100,True,0
1782914885636908424,175,0,189820000000,100,False,500
1782914886219893432,176,1,189830000000,100,True,0
